Cell_num	Cell_int	Pix_Tot_int	Pix_Mean_int	Pix_Max_int	
1	2	1.4718e+06	464	883
2	5	7.2349e+05	155	506
3	7	1.196e+06	510	865
4	9	5.3091e+05	230	345
5	12	3.3602e+05	124	236
6	14	5.3685e+05	277	378
7	16	1.0202e+06	521	832
8	19	9.6018e+05	220	306
9	21	8.3208e+05	487	716
10	23	5.0483e+06	285	556
11	26	2.6567e+06	266	544
12	28	1.3905e+06	711	986
13	30	3.5624e+06	486	957
14	33	5.8591e+05	226	375
15	35	9.976e+05	328	484
16	37	8.6018e+05	313	525
17	40	3.6603e+05	159	259
18	42	1.1387e+06	183	346
19	44	4.0858e+05	185	276
20	47	6.3883e+05	301	469
21	49	4.9772e+05	312	481
22	51	4.4059e+05	154	261
23	54	3.4679e+05	165	241
24	56	8.6758e+05	512	798
25	58	4.1193e+05	230	326
26	61	4.4906e+05	219	334
27	63	8.1845e+05	219	341
